fbp_code,CurveLabel,FuelType,SeasonState,PC,PDF,cc,GFL
1,C-1,C-1,direct,,,,
2,C-2,C-2,direct,,,,
3,C-3,C-3,direct,,,,
4,C-4,C-4,direct,,,,
5,C-5,C-5,direct,,,,
7,C-7,C-7,direct,,,,
11,D-1 leafless,D-1,leafless,,,,
12,D-2 green,D-2,green,,,,
13,D-1/D-2 leafless as D-1,D-1,leafless,,,,
13,D-1/D-2 green as D-2,D-2,green,,,,
31,O-1a 90%c,O-1a,direct,,,90,0.35
32,O-1b 90%c,O-1b,direct,,,90,0.35
101,Non-fuel,NF,nonfuel,,,,
102,Water,WA,water,,,,
420,M-1 20%C leafless,M-1,leafless,20,,,
450,M-1 50%C leafless,M-1,leafless,50,,,
535,M-2 35%C green,M-2,green,35,,,
610,M-1/M-2 10%C leafless,M-1,leafless,10,,,
610,M-1/M-2 10%C green,M-2,green,10,,,
620,M-1/M-2 20%C leafless,M-1,leafless,20,,,
620,M-1/M-2 20%C green,M-2,green,20,,,
635,M-1/M-2 35%C leafless,M-1,leafless,35,,,
635,M-1/M-2 35%C green,M-2,green,35,,,
650,M-1/M-2 50%C leafless,M-1,leafless,50,,,
650,M-1/M-2 50%C green,M-2,green,50,,,
665,M-1/M-2 65%C leafless,M-1,leafless,65,,,
665,M-1/M-2 65%C green,M-2,green,65,,,
